Timestamp,Match Name,Score,Odds 1,Odds X,Odds 2
05:46:35,Futebol vs Resultados finais,7 - 0,2.85,1.25,N/A
05:46:35,Total de golos vs A-League (Austrália),7 - 0,2.85,1.25,N/A
05:46:35,Auckland FC vs Melbourne City,9 - 3,2.85,1.25,N/A
05:46:35,Magic United vs Peninsula Power,3 - 2,5.75,3.00,1.30
05:46:35,Campbelltown City SC vs Metrostars SC,5 - 0,5.75,3.00,1.30
05:46:35,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:35,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:35,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:35,Francis Tiafoe vs Brandon Nakashima,4 - 3,1.95,1.62,1.11
05:46:35,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:35,Voleibol vs Vencedor da partida,0 - 0,2.75,1.20,2.20
05:46:35,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.75,1.20,2.20
05:46:35,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.75,1.20,2.20
05:46:35,Basebol vs Pré-temporada (Japão),37 - 1,3.20,1.13,1.37
05:46:35,Vencedor da Partida vs Handicap de runs,37 - 1,3.20,1.13,1.37
05:46:35,Futsal vs Resultados finais,8 - 3,7.25,3.15,1.27
05:46:35,Total de golos vs Liga F (Japão),8 - 3,7.25,3.15,1.27
05:46:35,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:41,Mais vs Menos,0 - 0,2.85,1.25,N/A
05:46:41,Auckland FC vs Melbourne City,0 - 0,2.85,1.25,N/A
05:46:41,Mais vs Menos,0 - 0,5.50,2.95,1.32
05:46:41,Campbelltown City SC vs Metrostars SC,0 - 0,5.50,2.95,1.32
05:46:41,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:41,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:41,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:41,Francis Tiafoe vs Brandon Nakashima,0 - 0,1.95,1.62,1.11
05:46:41,Handicap vs Total,0 - 0,1.75,1.75,1.75
05:46:41,Voleibol vs Vencedor da partida,0 - 0,2.75,1.20,2.20
05:46:41,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.75,1.20,2.20
05:46:41,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.75,1.20,2.20
05:46:41,Basebol vs Pré-temporada (Japão),0 - 0,3.20,1.13,1.37
05:46:41,Vencedor da Partida vs Handicap de runs,0 - 0,3.20,1.13,1.37
05:46:41,Futsal vs Resultados finais,0 - 0,7.25,3.15,1.27
05:46:41,Total de golos vs Liga F (Japão),0 - 0,7.25,3.15,1.27
05:46:41,Mais vs Menos,0 - 0,7.25,3.15,1.27
05:46:41,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:43,Auckland FC vs Melbourne City,9 - 4,2.90,1.24,N/A
05:46:43,Campbelltown City SC vs Metrostars SC,5 - 1,5.50,2.95,1.32
05:46:43,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:43,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:43,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:43,Francis Tiafoe vs Brandon Nakashima,0 - 0,1.95,1.62,1.11
05:46:43,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:43,Voleibol vs Vencedor da partida,0 - 0,2.75,1.20,2.20
05:46:43,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.75,1.20,2.20
05:46:43,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.75,1.20,2.20
05:46:43,Basebol vs Pré-temporada (Japão),37 - 1,3.20,1.13,1.37
05:46:43,Vencedor da Partida vs Handicap de runs,37 - 1,3.20,1.13,1.37
05:46:43,Futsal vs Resultados finais,8 - 4,7.25,3.15,1.27
05:46:43,Total de golos vs Liga F (Japão),8 - 4,7.25,3.15,1.27
05:46:43,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:50,Futebol vs Resultados finais,7 - 1,2.90,1.24,N/A
05:46:50,Total de golos vs A-League (Austrália),7 - 1,2.90,1.24,N/A
05:46:50,Auckland FC vs Melbourne City,9 - 5,2.90,1.24,N/A
05:46:50,Magic United vs Peninsula Power,3 - 4,5.50,2.95,1.32
05:46:50,Campbelltown City SC vs Metrostars SC,5 - 2,5.50,2.95,1.32
05:46:50,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:50,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.11
05:46:50,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.11
05:46:50,Francis Tiafoe vs Brandon Nakashima,4 - 3,1.95,1.62,1.11
05:46:50,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:50,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:46:50,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:46:50,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:46:50,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:46:50,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:46:50,Futsal vs Resultados finais,8 - 5,7.25,3.15,1.27
05:46:50,Total de golos vs Liga F (Japão),8 - 5,7.25,3.15,1.27
05:46:50,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:56,Mais vs Menos,0 - 0,2.85,1.25,N/A
05:46:56,Auckland FC vs Melbourne City,0 - 0,2.85,1.25,N/A
05:46:56,Mais vs Menos,0 - 0,5.50,2.95,1.32
05:46:56,Campbelltown City SC vs Metrostars SC,0 - 0,5.50,2.95,1.32
05:46:56,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:56,Ténis vs Vencedor da partida,0 - 0,2.00,1.57,1.11
05:46:56,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.00,1.57,1.11
05:46:56,Francis Tiafoe vs Brandon Nakashima,0 - 0,2.00,1.57,1.11
05:46:56,Handicap vs Total,0 - 0,1.75,1.75,1.75
05:46:56,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:46:56,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:46:56,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:46:56,Basebol vs Pré-temporada (Japão),0 - 0,3.20,1.13,1.42
05:46:56,Vencedor da Partida vs Handicap de runs,0 - 0,3.20,1.13,1.42
05:46:56,Futsal vs Resultados finais,0 - 0,7.25,3.15,1.27
05:46:56,Total de golos vs Liga F (Japão),0 - 0,7.25,3.15,1.27
05:46:56,Mais vs Menos,0 - 0,7.25,3.15,1.27
05:46:56,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:58,Auckland FC vs Melbourne City,9 - 5,2.85,1.25,N/A
05:46:58,Campbelltown City SC vs Metrostars SC,5 - 2,5.50,2.95,1.32
05:46:58,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:58,Ténis vs Vencedor da partida,0 - 0,2.00,1.57,1.11
05:46:58,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.00,1.57,1.11
05:46:58,Francis Tiafoe vs Brandon Nakashima,0 - 0,2.00,1.57,1.11
05:46:58,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:58,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:46:58,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:46:58,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:46:58,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:46:58,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:46:58,Futsal vs Resultados finais,9 - 0,7.25,3.15,1.27
05:46:58,Total de golos vs Liga F (Japão),9 - 0,7.25,3.15,1.27
05:46:58,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:46:58,Futebol vs Resultados finais,7 - 2,2.85,1.25,N/A
05:46:58,Total de golos vs A-League (Austrália),7 - 2,2.85,1.25,N/A
05:46:58,Auckland FC vs Melbourne City,9 - 5,2.85,1.25,N/A
05:46:58,Magic United vs Peninsula Power,3 - 4,5.50,2.95,1.32
05:46:58,Campbelltown City SC vs Metrostars SC,5 - 2,5.50,2.95,1.32
05:46:58,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:46:58,Ténis vs Vencedor da partida,0 - 0,2.00,1.57,1.11
05:46:58,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.00,1.57,1.11
05:46:58,Francis Tiafoe vs Brandon Nakashima,4 - 3,2.00,1.57,1.11
05:46:58,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:46:58,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:46:58,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:46:58,Seul Woori Card Hansae vs KB Star Insurance,42 - 1,2.85,1.17,2.50
05:46:58,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:46:58,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:46:58,Futsal vs Resultados finais,8 - 4,7.25,3.15,1.27
05:46:58,Total de golos vs Liga F (Japão),8 - 4,7.25,3.15,1.27
05:46:58,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:05,Futebol vs Resultados finais,7 - 3,3.00,1.22,N/A
05:47:05,Total de golos vs A-League (Austrália),7 - 3,3.00,1.22,N/A
05:47:05,Auckland FC vs Melbourne City,0 - 0,3.00,1.22,N/A
05:47:05,Magic United vs Peninsula Power,3 - 5,5.50,2.95,1.32
05:47:05,Campbelltown City SC vs Metrostars SC,5 - 3,5.50,2.95,1.32
05:47:05,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:47:05,Ténis vs Vencedor da partida,0 - 0,1.95,1.62,1.09
05:47:05,Vencedor do set vs Acapulco ( ATP ),0 - 0,1.95,1.62,1.09
05:47:05,Francis Tiafoe vs Brandon Nakashima,4 - 3,1.95,1.62,1.09
05:47:05,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:05,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:47:05,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:47:05,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:47:05,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:47:05,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:47:05,Futsal vs Resultados finais,9 - 0,7.25,3.15,1.27
05:47:05,Total de golos vs Liga F (Japão),9 - 0,7.25,3.15,1.27
05:47:05,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:13,Auckland FC vs Melbourne City,0 - 1,3.00,1.22,N/A
05:47:13,Campbelltown City SC vs Metrostars SC,5 - 4,5.50,2.95,1.32
05:47:13,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:47:13,Ténis vs Vencedor da partida,0 - 0,2.10,1.52,1.17
05:47:13,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.10,1.52,1.17
05:47:13,Francis Tiafoe vs Brandon Nakashima,0 - 0,2.10,1.52,1.17
05:47:13,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:13,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:47:13,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:47:13,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:47:13,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:47:13,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:47:13,Futsal vs Resultados finais,9 - 1,7.25,3.15,1.27
05:47:13,Total de golos vs Liga F (Japão),9 - 1,7.25,3.15,1.27
05:47:13,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:13,Futebol vs Resultados finais,7 - 4,3.00,1.22,N/A
05:47:13,Total de golos vs A-League (Austrália),7 - 4,3.00,1.22,N/A
05:47:13,Auckland FC vs Melbourne City,0 - 1,3.00,1.22,N/A
05:47:13,Magic United vs Peninsula Power,4 - 0,5.50,2.95,1.32
05:47:13,Campbelltown City SC vs Metrostars SC,5 - 4,5.50,2.95,1.32
05:47:13,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:47:13,Ténis vs Vencedor da partida,0 - 0,2.10,1.52,1.17
05:47:13,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.10,1.52,1.17
05:47:13,Francis Tiafoe vs Brandon Nakashima,4 - 3,2.10,1.52,1.17
05:47:13,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:13,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:47:13,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:47:13,Seul Woori Card Hansae vs KB Star Insurance,42 - 1,2.85,1.17,2.50
05:47:13,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:47:13,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:47:13,Futsal vs Resultados finais,9 - 1,7.25,3.15,1.27
05:47:13,Total de golos vs Liga F (Japão),9 - 1,7.25,3.15,1.27
05:47:13,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:20,Futebol vs Resultados finais,7 - 4,3.00,1.22,N/A
05:47:20,Total de golos vs A-League (Austrália),7 - 4,3.00,1.22,N/A
05:47:20,Auckland FC vs Melbourne City,0 - 2,3.00,1.22,N/A
05:47:20,Magic United vs Peninsula Power,4 - 1,5.50,3.00,1.30
05:47:20,Campbelltown City SC vs Metrostars SC,5 - 5,5.50,3.00,1.30
05:47:20,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.65
05:47:20,Ténis vs Vencedor da partida,0 - 0,2.10,1.52,1.17
05:47:20,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.10,1.52,1.17
05:47:20,Francis Tiafoe vs Brandon Nakashima,4 - 3,2.10,1.52,1.17
05:47:20,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:20,Voleibol vs Vencedor da partida,0 - 0,2.85,1.17,2.50
05:47:20,Vencedor do set vs V League (Coreia do Sul),0 - 0,2.85,1.17,2.50
05:47:20,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,2.85,1.17,2.50
05:47:20,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:47:20,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:47:20,Futsal vs Resultados finais,9 - 2,7.25,3.15,1.27
05:47:20,Total de golos vs Liga F (Japão),9 - 2,7.25,3.15,1.27
05:47:20,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:28,Futebol vs Resultados finais,7 - 5,3.00,1.22,N/A
05:47:28,Total de golos vs A-League (Austrália),7 - 5,3.00,1.22,N/A
05:47:28,Auckland FC vs Melbourne City,0 - 2,3.00,1.22,N/A
05:47:28,Magic United vs Peninsula Power,4 - 1,5.50,3.00,1.30
05:47:28,Campbelltown City SC vs Metrostars SC,5 - 5,5.50,3.00,1.30
05:47:28,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.65
05:47:28,Ténis vs Vencedor da partida,0 - 0,2.10,1.52,1.17
05:47:28,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.10,1.52,1.17
05:47:28,Francis Tiafoe vs Brandon Nakashima,4 - 3,2.10,1.52,1.17
05:47:28,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:28,Voleibol vs Vencedor da partida,0 - 0,3.10,1.14,2.90
05:47:28,Vencedor do set vs V League (Coreia do Sul),0 - 0,3.10,1.14,2.90
05:47:28,Seul Woori Card Hansae vs KB Star Insurance,0 - 0,3.10,1.14,2.90
05:47:28,Futsal vs Resultados finais,9 - 3,7.25,3.15,1.27
05:47:28,Total de golos vs Liga F (Japão),9 - 3,7.25,3.15,1.27
05:47:28,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
05:47:43,Futebol vs Resultados finais,8 - 1,3.20,1.19,N/A
05:47:43,Total de golos vs A-League (Austrália),8 - 1,3.20,1.19,N/A
05:47:43,Auckland FC vs Melbourne City,0 - 4,3.20,1.19,N/A
05:47:43,Magic United vs Peninsula Power,4 - 3,5.75,3.00,1.30
05:47:43,Campbelltown City SC vs Metrostars SC,6 - 1,5.75,3.00,1.30
05:47:43,Playford City vs Adelaide United FC (Juventude),0 - 0,2.20,2.25,2.60
05:47:43,Ténis vs Vencedor da partida,0 - 0,2.10,1.52,1.17
05:47:43,Vencedor do set vs Acapulco ( ATP ),0 - 0,2.10,1.52,1.17
05:47:43,Francis Tiafoe vs Brandon Nakashima,4 - 3,2.10,1.52,1.17
05:47:43,Handicap vs Total,4 - 3,1.75,1.75,1.75
05:47:43,Voleibol vs Vencedor da partida,0 - 0,3.10,1.14,2.90
05:47:43,Vencedor do set vs V League (Coreia do Sul),0 - 0,3.10,1.14,2.90
05:47:43,Seul Woori Card Hansae vs KB Star Insurance,42 - 1,3.10,1.14,2.90
05:47:43,Basebol vs Pré-temporada (Japão),42 - 1,3.20,1.13,1.42
05:47:43,Vencedor da Partida vs Handicap de runs,42 - 1,3.20,1.13,1.42
05:47:43,Futsal vs Resultados finais,9 - 4,7.25,3.15,1.27
05:47:43,Total de golos vs Liga F (Japão),9 - 4,7.25,3.15,1.27
05:47:43,Fuchu Athletic Futsal vs Bardral Urayasu Futsal,0 - 0,7.25,3.15,1.27
